,open,high,low,close,volume,SMA,EMA,WMA,DEMA,TEMA,TRIMA,KAMA,T3,FAMA,MAMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,FastD,FastK,FastD,FastK,RSI,CMO,APO,WILLR,ADX,ADXR,CCI,Aroon Down,Aroon Up,AROONOSC,MFI,DX,MINUS_DI,PLUS_DI,MINUS_DM,PLUS_DM,ULTOSC,MOM,ROC,ROCR,TRIX,BOP,TRANGE,SAR,ATR,NATR,Chaikin A/D,ADOSC,OBV,target1d,target1w,target1m
2000-03-03,124.87,128.23,120.0,128.0,2887200,0.8969,0.9115,0.9163,0.9455,0.959,0.8875,0.8571,0.8939,0.076,0.4271,0.0334,0.0039,0.0294,71.6472,77.6699,77.6699,82.862,68.7482,60.2685,63.6803,27.3606,0.0334,-16.0032,18.1245,14.9076,112.5589,20,80,60,55.4312,33.2865,12.8279,25.6288,0.0759,0.1517,58.9857,0.1002,11.4303,1.1143,0.5356,0.3803,0.0628,0.737,0.0592,6.0574,193364455.5465,398392240.4102,9705358496,-0.046875,-0.13773437499999996,-0.22804687499999998
2000-03-06,126.0,129.13,125.0,125.69,1880000,0.908,0.9202,0.9277,0.9552,0.967,0.9011,0.8634,0.9028,0.0778,0.4325,0.0361,0.0061,0.03,72.1141,69.2434,69.2434,67.3333,47.303,35.6643,60.4942,20.9884,0.0361,-25.1084,19.8572,15.9841,94.805,10,70,60,60.7706,35.4514,12.1111,25.4144,0.0683,0.1434,56.4291,0.1102,12.9798,1.1298,0.6009,-0.0751,0.0315,0.7424,0.0564,5.8805,53160925.8951,345579628.2379,9494798286,0.01837855040178218,-0.09897366536717318,-0.17805712467181156
2000-03-07,126.44,127.44,121.12,122.87,2437600,0.9149,0.9234,0.9331,0.9547,0.9613,0.9164,0.8658,0.9119,0.0796,0.4375,0.035,0.0046,0.0304,69.2403,60.8075,60.8075,32.2271,31.9776,0.0,56.6496,13.2993,0.035,-38.7927,19.5944,15.6131,49.3536,0,60,60,62.4996,17.2293,16.3871,23.2092,0.0911,0.129,57.46,0.0692,7.9606,1.0796,0.6352,-0.5649,0.0482,0.7477,0.0556,5.9282,-68657484.5215,253797735.5587,9221786813,0.022951086514201947,-0.06714413607878245,-0.12102221860502974
2000-03-08,122.87,123.94,118.56,122.0,2421700,0.9193,0.9248,0.9361,0.9516,0.9533,0.9293,0.8671,0.9203,0.0814,0.4424,0.0365,0.0052,0.0312,58.0287,44.0351,44.0351,32.5449,11.8881,0.0,55.4418,10.8837,0.0365,-42.4652,18.3055,14.7274,15.6479,30,50,20,53.567,6.7056,18.7531,21.449,0.1015,0.1161,57.4421,0.0439,4.9462,1.0495,0.641,-0.1617,0.0411,0.7529,0.0541,5.8144,6964449.7767,217239600.7794,8950556142,0.007131147540983644,0.06811475409836068,-0.06508196721311474
2000-03-09,120.87,125.0,118.25,122.25,2470700,0.9247,0.9263,0.9386,0.9495,0.9479,0.9388,0.8687,0.9276,0.0832,0.4474,0.0354,0.003,0.0324,46.2294,33.8456,33.8456,36.7647,1.219,3.6569,55.7431,11.4862,0.0354,-41.4099,17.5156,14.428,13.139,20,40,20,62.2129,10.4059,16.96,20.8996,0.0914,0.1126,58.4952,0.0538,6.1198,1.0612,0.6281,0.2044,0.0515,0.758,0.0539,5.7744,58208649.0447,198839918.066,9227274818,-0.002044989775051125,-0.002044989775051125,-0.060368098159509165
2000-03-10,121.69,127.94,121.0,125.75,2219700,0.9364,0.9324,0.945,0.9563,0.9557,0.9459,0.8756,0.9343,0.0851,0.4525,0.0335,0.0002,0.0333,41.3206,46.0812,46.0812,68.9338,30.9943,89.3259,59.9549,19.9098,0.0335,-26.6357,17.7804,14.9687,49.9532,10,30,20,68.6505,20.1642,15.2898,23.0133,0.0822,0.1238,53.4913,0.1174,13.9349,1.1393,0.6206,0.585,0.053,0.763,0.0538,5.6042,149913694.9982,202415297.2079,9475881466,-0.027833001988071572,0.017892644135188866,-0.10441351888667988
2000-03-13,122.12,126.5,119.5,121.31,2713900,0.9425,0.9313,0.9432,0.9499,0.945,0.9474,0.8771,0.9396,0.0869,0.4572,0.0321,-0.002,0.0341,41.8953,45.7592,45.7592,31.5789,30.9943,0.0,52.8638,5.7275,0.0321,-55.1282,17.32,14.5338,-20.4169,0,20,20,68.5937,13.1762,15.8999,20.7258,0.0855,0.1114,54.9212,0.0615,7.117,1.0712,0.5896,-0.1157,0.0534,0.7679,0.0538,5.8055,3145836.6857,138777697.6476,9171924363,0.036600445140548984,0.036105844530541546,-0.06438051273596572
2000-03-14,121.22,124.25,114.0,114.25,3826600,0.9423,0.9205,0.9303,0.9269,0.913,0.9436,0.8771,0.9422,0.0888,0.4614,0.0327,-0.0014,0.0342,41.9808,34.1021,34.1021,1.7934,29.7753,0.0,43.7265,-12.547,0.0327,-98.6157,16.4382,15.3277,-188.3773,0,10,10,58.226,8.5017,21.1561,17.8407,0.1189,0.1003,42.1168,-0.0028,-0.3228,0.9968,0.5087,-0.68,0.0782,0.7727,0.0562,6.4449,-404527467.998,-29586253.4489,8743344735,0.061794310722100676,0.07544857768052521,-0.04814004376367615
2000-03-15,115.62,120.25,114.12,116.25,3960800,0.9315,0.9145,0.9204,0.9148,0.8984,0.9362,0.8779,0.9421,0.0907,0.4656,0.034,-0.0003,0.0343,32.1218,16.5043,16.5043,16.1406,5.964,17.8921,46.6301,-6.7398,0.034,-85.1289,15.6446,16.0422,-153.8667,90,0,-90,35.0434,8.5017,19.3648,16.3301,0.107,0.0902,42.5708,-0.1073,-10.7897,0.8921,0.4156,0.1028,0.0468,0.7774,0.0553,6.228,-539853859.5743,-138831153.1764,9186954778,-0.017204301075268817,0.04946236559139785,-0.0037849462365591204
2000-03-16,117.31,122.0,114.5,121.56,3375900,0.9312,0.9169,0.9197,0.9192,0.9073,0.9308,0.8782,0.9407,0.0926,0.4702,0.0365,0.0018,0.0346,24.8873,24.0555,24.0555,54.2324,26.4098,61.3374,53.6806,7.3611,0.0365,-50.033,14.171,16.1478,-68.1652,80,20,-60,46.2074,0.9092,17.366,17.053,0.0963,0.0946,50.026,-0.0034,-0.3607,0.9964,0.3487,0.5667,0.0572,0.782,0.0555,5.9773,-206116553.1382,-64712091.6374,9565055956,-0.0436821322803554,0.005676209279368194,-0.021059559065482084
2000-03-17,120.12,125.0,119.62,125.0,2723600,0.9289,0.9237,0.9239,0.9311,0.9256,0.925,0.8793,0.9394,0.0945,0.4751,0.0294,-0.0045,0.0339,31.1169,52.791,52.791,88.0,59.7431,100.0,57.7027,15.4054,0.0294,-27.2968,13.8498,16.8535,39.0929,70,10,-60,45.7873,10.9588,16.0459,19.9956,0.0867,0.108,52.4767,-0.0229,-2.3438,0.9766,0.3175,0.9071,0.0411,0.7866,0.054,5.6619,98926951.8618,68551557.0956,9870099461,-0.027519999999999982,0.006,-0.08703999999999996
2000-03-20,123.5,126.25,122.37,123.0,1825800,0.9269,0.9265,0.9257,0.9348,0.931,0.9203,0.8801,0.9386,0.0964,0.4797,0.0273,-0.0058,0.033,49.5824,71.9006,71.9006,73.4694,79.8027,78.0706,54.6378,9.2756,0.0273,-35.4376,14.0205,16.8075,71.8004,60,0,-60,45.5974,15.5567,15.1246,20.6973,0.078,0.1068,49.7029,-0.0205,-2.1402,0.9786,0.296,-0.1289,0.0296,0.791,0.0516,5.494,-39156369.3963,72900942.3501,9665609657,0.016260162601626018,-0.013739837398373965,-0.06609756097560972
2000-03-21,122.56,136.75,121.62,134.94,4681500,0.9361,0.9453,0.9444,0.9675,0.9758,0.922,0.8889,0.9403,0.0984,0.4852,0.024,-0.0076,0.0317,69.7273,84.4904,84.4904,92.0018,92.6902,100.0,66.4563,32.9126,0.024,-7.956,16.9203,17.6129,207.2313,50,100,50,58.3558,43.019,12.1115,30.3992,0.0702,0.1762,54.8419,0.0921,9.8234,1.0982,0.3405,0.8182,0.1155,0.7953,0.058,5.6284,359721443.6315,194968545.7039,10189938181,-0.0884837705646954,-0.15332740477249146,-0.1755595079294501
